utterance_idx,ut_len,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHYLIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS&CULTURE,CRIME,TRAVEL,RELIGION,Talker,context_encoded,Empathy,,,
1,156,0.71,0.251,0.038,0.061062159,0.262036468,0.230840877,0.065296647,0.245344895,0.135418954,0.032,0.237,0.42,0.014,0.297,0,0,0,0.738070011,0,0,0,0,0,0.12912865,0,0.034975536,0,0,0,0,0,0,0,1,1,4,,,
2,116,0.836,0.152,0.013,0.042614081,0.469166091,0.211532166,0.007800385,0.120080854,0.148806424,0.029,0.286,0.16,0.008,0.516,0.434,0.51,0.055,0,0,0,0.618952513,0,0,0.105618969,0,0,0,0.065186232,0,0,0,0,0,2,0,4,,,
3,21,0.162,0.681,0.156,0.315353982,0.198645532,0.1072993,0.093030798,0.103303021,0.182367368,0.001,0.049,0.265,0.005,0.681,0.034,0.136,0.831,0.685471714,0,0.128456861,0.073779404,0,0,0,0,0,0,0,0,0,0,0,0,1,31,3,,,
1,70,0.091,0.147,0.762,0.05957098,0.16321903,0.121215378,0.00576432,0.096809101,0.553421192,0.079,0.301,0.161,0.032,0.427,0.197,0.143,0.661,0.026940869,0,0,0.018774811,0,0,0.94678694,0,0,0,0,0,0,0,0,0,1,19,4,,,
3,95,0.063,0.113,0.824,0.228944423,0.193158353,0.033221608,0.006249437,0.059104098,0.479322082,0.099,0.048,0.157,0.098,0.599,0.021,0.024,0.955,0.491964817,0,0,0,0.043137506,0,0.396133333,0,0,0,0,0,0,0,0,0,1,19,4,,,
4,70,0.985,0.014,0.001,0.037504099,0.2698112,0.575422708,0.024459838,0.077305913,0.015496243,0.005,0.03,0.455,0,0.509,0.772,0.009,0.219,0.21715337,0,0.079489239,0.602390945,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,,,
1,38,0.955,0.043,0.002,0.005396182,0.197870648,0.769828551,0.001340648,0.023758691,0.00180528,0.003,0.111,0.261,0,0.625,0.835,0.045,0.12,0.083240993,0,0,0.751980484,0,0,0,0.068393938,0,0,0,0,0,0,0,0,1,27,3,,,
5,29,0.288,0.625,0.087,0.048378909,0.594304541,0.227996562,0.017051962,0.054639857,0.05762817,0.008,0.007,0.786,0.003,0.197,0,0,0,0,0,0,0.400060624,0.499258131,0,0,0,0,0,0,0,0.024382362,0,0,0,1,27,3,,,
1,42,0.563,0.338,0.099,0.015408732,0.168663056,0.782377409,0.005059019,0.019871582,0.008620202,0.019,0.058,0.803,0.001,0.118,0,0,0,0.346930057,0,0.372636318,0,0,0,0.106291816,0,0,0,0,0,0,0,0,0,1,10,3,,,
2,40,0.301,0.386,0.313,0.173350702,0.088345618,0.712121512,8.01E-04,0.007285305,0.01809566,0.001,0.032,0.432,0.001,0.535,0.015,0.024,0.962,0.510391653,0,0.097296387,0.326283902,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,,,
1,31,0.155,0.436,0.409,0.229228262,0.09675471,0.072735214,0.136654517,0.138571942,0.326055356,0.007,0.064,0.279,0.004,0.646,0.043,0.023,0.933,0.417311996,0,0,0.437724292,0,0.041792169,0,0,0,0,0,0,0,0,0,0,1,8,2,,,
4,71,0.203,0.21,0.587,0.226505321,0.221813396,0.149966926,0.091344944,0.154332216,0.156037197,0.037,0.176,0.269,0.037,0.481,0.132,0.254,0.613,0,0,0.004831275,0.976788998,0,0,0,0,0.004248018,0,0,0,0,0,0,0,2,8,2,,,
3,47,0.385,0.31,0.305,0.165738641,0.13485466,0.115211265,0.07400156,0.284210768,0.225983107,0.251,0.105,0.172,0.135,0.337,0.305,0.097,0.598,0.02933728,0,0,0.080745257,0,0.86577946,0,0,0,0,0,0,0,0,0,0,1,20,4,,,
2,67,0.486,0.504,0.009,0.028214909,0.501446584,0.262044143,0.038292387,0.128790084,0.041211893,0.002,0.749,0.209,0.001,0.04,0,0,0,0,0,0.045610111,0.908145607,0,0.030665351,0,0,0,0,0,0,0,0,0,0,2,10,4,,,
3,126,0.983,0.017,0.001,0.010395765,0.190318955,0.679792698,0.007608471,0.086013429,0.025870682,0.032,0.146,0.084,0.002,0.735,0.926,0.033,0.042,0.800122798,0,0.039655685,0,0,0,0,0,0,0,0,0,0,0.091678903,0,0,1,10,4,,,
4,87,0.957,0.04,0.003,0.099618292,0.109251765,0.433265984,0.047449279,0.277314077,0.033100602,0.004,0.09,0.065,0.003,0.837,0.858,0.035,0.107,0.157532528,0,0,0,0,0,0.616690159,0,0.121894412,0,0,0,0,0,0,0,2,10,4,,,
2,81,0.817,0.174,0.009,0.022609146,0.32413906,0.228871362,0.133946645,0.198967247,0.09146654,0.067,0.481,0.185,0.003,0.264,0,0,0,0,0,0.899386764,0.060072519,0,0,0,0,0,0,0,0,0,0.012806746,0,0,2,1,4,,,
3,45,0.65,0.289,0.061,0.342172718,0.042677938,0.053673264,0.059407801,0.381289271,0.120779009,0.009,0.075,0.102,0.023,0.791,0.431,0.191,0.379,0.378885835,0,0.133016557,0.378239036,0,0,0,0,0,0,0,0,0,0,0,0,1,15,3,,,
4,34,0.004,0.058,0.938,0.425120323,0.157274278,0.026377921,0.01830192,0.053113864,0.319811695,0.004,0.012,0.515,0.176,0.292,0,0,0,0,0,0.261886358,0.163613945,0.280720681,0,0,0,0,0,0,0,0,0,0,0,2,14,4,,,
1,104,0.854,0.127,0.02,0.023619259,0.266736505,0.452599235,0.033047723,0.165336721,0.058660557,0.007,0.197,0.217,0.002,0.577,0.796,0.024,0.181,0.741860092,0,0,0.049827427,0,0,0,0.081981972,0,0,0,0,0,0,0,0,1,11,4,,,
4,139,0.146,0.61,0.244,0.691229412,0.0237956,0.028380141,0.016733891,0.027987911,0.211873046,0.016,0.015,0.288,0.025,0.656,0.085,0.298,0.617,0.680584908,0,0,0.209148318,0,0,0.067669734,0,0,0,0,0,0,0,0,0,2,0,4,,,
1,113,0.353,0.341,0.306,0.23581134,0.336854644,0.069951357,0.022374426,0.046946448,0.288061785,0.023,0.041,0.362,0.055,0.519,0.048,0.073,0.879,0.590975881,0,0,0.216601625,0,0.105861761,0,0,0,0,0,0,0,0,0,0,1,14,5,,,
1,55,0.005,0.076,0.919,0.432164558,0.094014603,0.011794651,0.020248671,0.038779575,0.402997944,0.005,0.012,0.26,0.159,0.563,0.002,0.011,0.987,0.844440639,0,0,0.013487586,0,0,0.126488641,0,0,0,0,0,0,0,0,0,1,17,3,,,
2,30,0.056,0.275,0.668,0.223539461,0.383743168,0.187221017,0.051457102,0.03981941,0.114219842,0.001,0.439,0.18,0.015,0.366,0,0,0,0.924136221,0,0,0.036973026,0,0,0.012490256,0,0,0,0,0,0,0,0,0,2,17,3,,,
8,49,0.025,0.189,0.787,0.484700255,0.116350629,0.03271192,0.040683059,0.124512518,0.201041619,0.005,0.058,0.329,0.057,0.552,0.019,0.143,0.838,0.101550162,0,0,0.230353057,0,0,0,0,0,0,0,0,0,0,0.506191731,0,2,14,4,,,
4,20,0.862,0.114,0.024,0.081624965,0.188793733,0.396865727,0,0.228745155,0.103970421,0.248,0.047,0.36,0.064,0.281,0,0,0,0.045937959,0,0.124540329,0.734297633,0,0,0,0,0,0,0,0,0,0,0,0,2,11,3,,,
2,43,0.283,0.693,0.024,0.092542249,0.206924307,0.19755516,0.073250034,0.30170961,0.128018641,0.001,0.602,0.244,0.001,0.152,0,0,0,0,0,0,0.304943502,0.314689457,0,0,0,0,0,0,0.169981748,0,0,0,0,2,0,4,,,
4,48,0.377,0.349,0.274,0.311856849,0.154519837,0.110514258,0.083128918,0.120291615,0.219688524,0.039,0.135,0.203,0.11,0.513,0.132,0.338,0.53,0.530062556,0,0.143415824,0,0,0,0.153684378,0,0,0,0,0,0,0,0,0,2,0,4,,,
3,36,0.96,0.036,0.004,0.067659833,0.211397017,0.309189923,0.02366477,0.32565028,0.062438178,0.012,0.23,0.117,0.004,0.637,0.683,0.026,0.291,0.253627986,0,0.462300092,0,0,0.081683837,0,0,0,0,0,0,0,0,0,0,1,16,3,,,
2,26,0.088,0.691,0.22,0.103559206,0.481458216,0.144858045,0.068651439,0.090842718,0.110630376,0.005,0.44,0.468,0.007,0.08,0,0,0,0.099634044,0,0,0.614682138,0,0.190112621,0,0,0,0,0,0,0,0,0,0,2,26,4,,,
4,87,0.048,0.209,0.743,0.444410993,0.183113567,0.041822117,0.026115179,0.059235586,0.245302558,0.018,0.073,0.428,0.114,0.367,0,0,0,0.034915488,0,0,0.843948007,0,0,0.026690874,0,0,0,0,0,0,0,0,0,2,4,5,,,
2,26,0.171,0.79,0.039,0.02921743,0.269525462,0.270484338,0.241758285,0.13541162,0.053602865,0.003,0.779,0.134,0.002,0.082,0,0,0,0.09363839,0,0.282698154,0.397714913,0,0,0,0,0,0,0,0,0,0,0,0,2,8,3,,,
3,112,0.988,0.011,0.001,0.004797649,0.243861705,0.472089651,0.021721103,0.251580243,0.005949649,0.026,0.529,0.039,0.001,0.404,0,0,0,0,0,0.285666317,0.454699338,0,0,0,0.147492886,0,0,0,0,0,0,0,0,1,8,3,,,
4,34,0.704,0.279,0.018,0.045481625,0.324307332,0.298192957,0.065644349,0.192015278,0.074358458,0.002,0.378,0.479,0.002,0.139,0,0,0,0,0,0.325668275,0.377218187,0,0,0,0,0,0,0.096209921,0,0,0,0,0,2,8,3,,,
4,4,0.019,0.484,0.497,0.315639422,0.111624941,0.104815164,0.056571419,0.131952214,0.279396839,0,0.003,0.902,0.004,0.091,0,0,0,0.497307032,0,0.232078329,0.110832103,0,0,0,0,0,0,0,0,0,0,0,0,2,18,2,,,
1,36,0.104,0.238,0.658,0.166112851,0.201342094,0.088068167,0.010480117,0.170123416,0.363873355,0.022,0.034,0.311,0.135,0.498,0.036,0.06,0.904,0.065635823,0,0,0.612730622,0,0,0,0,0.19077456,0,0,0,0,0,0,0,1,21,4,,,
3,50,0.96,0.03,0.011,0.03934061,0.185206958,0.42919763,0.03555048,0.274379186,0.036325136,0.004,0.494,0.155,0.014,0.333,0,0,0,0.707549512,0,0,0.060639598,0,0,0.089797713,0,0,0,0,0,0,0,0,0,1,21,4,,,
2,47,0.064,0.807,0.129,0.27640635,0.2884706,0.109389852,0.077036422,0.105294272,0.143402502,0.446,0.169,0.24,0.056,0.09,0,0,0,0,0,0.037662774,0.811584115,0,0.044597019,0,0,0,0,0,0,0,0,0,0,2,3,5,,,
4,91,0.064,0.185,0.751,0.469407591,0.127398456,0.052253954,0.011681973,0.019482252,0.319775775,0.012,0.06,0.21,0.249,0.469,0.002,0.001,0.997,0.045846704,0,0.021529073,0.922768116,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,,,
5,82,0.132,0.243,0.625,0.256141886,0.209632002,0.075312443,0.054537732,0.121284521,0.283091415,0.066,0.438,0.067,0.107,0.322,0,0,0,0.043337941,0,0,0.845104933,0,0,0,0,0,0,0,0,0.063686766,0,0,0,1,3,5,,,
3,107,0.957,0.037,0.007,0.012067894,0.125198979,0.332713308,0.042232299,0.468884107,0.018903414,0.013,0.575,0.073,0.007,0.331,0,0,0,0.688271523,0,0,0,0,0,0.159624547,0,0.094259128,0,0,0,0,0,0,0,1,2,4,,,
4,57,0.912,0.076,0.012,0.095438608,0.177388129,0.152725597,0.108108123,0.346641457,0.119698087,0.14,0.126,0.182,0.02,0.532,0.591,0.386,0.023,0,0,0.217593789,0.544869781,0,0,0,0,0,0,0,0,0,0.07111641,0,0,2,1,4,,,
1,122,0.408,0.379,0.213,0.19045151,0.444255429,0.144682951,0.005218185,0.062650033,0.152741892,0.043,0.183,0.213,0.018,0.543,0.109,0.054,0.837,0.944313526,0,0,0.008407325,0,0,0.019299135,0,0,0,0,0,0,0,0,0,1,29,4,,,
3,119,0.964,0.03,0.006,0.034169806,0.1398818,0.23958044,0.025544736,0.489020418,0.0718028,0.02,0.311,0.11,0.014,0.545,0.905,0.073,0.022,0.366939873,0,0,0.308553606,0,0,0,0,0.117396563,0,0,0,0,0,0,0,1,11,2,,,
3,143,0.948,0.047,0.005,0.012392154,0.361901441,0.253581386,0.015812118,0.336018603,0.020294299,0.037,0.385,0.135,0.007,0.436,0.937,0.036,0.027,0,0,0,0.158656329,0.289460152,0,0,0.262605935,0,0,0,0,0,0,0,0,1,27,4,,,
2,51,0.643,0.348,0.009,0.018931603,0.222140909,0.463286168,0.089989832,0.191711287,0.013940202,0.001,0.898,0.074,0.001,0.025,0,0,0,0,0.123830579,0,0.263523877,0,0,0,0,0,0,0.255258918,0,0,0,0,0,2,17,3,,,
3,94,0.561,0.296,0.142,0.453536544,0.124877884,0.158018342,0,0.077106718,0.186460512,0.035,0.046,0.396,0.026,0.497,0.154,0.123,0.723,0.179081768,0,0,0.353342205,0,0.160394877,0,0,0,0,0,0,0,0,0,0,1,17,3,,,
4,44,0.064,0.247,0.688,0.383200977,0.101224584,0.09113911,0.02792996,0.300738506,0.095766862,0.034,0.055,0.438,0.017,0.456,0.008,0.01,0.982,0.043744288,0,0.086488336,0.760155976,0,0,0,0,0,0,0,0,0,0,0,0,2,17,3,,,
4,28,0.004,0.189,0.807,0.435457486,0.089261855,0.018640421,0.106413255,0.079805076,0.270421906,0.148,0.017,0.489,0.039,0.306,0,0,0,0.334748924,0,0.233755484,0.162742093,0,0,0,0,0,0,0,0,0,0,0,0,2,19,4,,,
2,41,0.298,0.646,0.056,0.084054702,0.397254703,0.242413519,0.093848293,0.100517779,0.081911004,0.002,0.545,0.353,0.001,0.099,0,0,0,0.157638282,0,0.308300227,0.279375136,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,,,
4,107,0.257,0.398,0.344,0.299921861,0.226891614,0.164861021,0,0.164222739,0.144102766,0.009,0.391,0.109,0.046,0.445,0.077,0.598,0.325,0.51404655,0,0,0.088548616,0,0,0.327031046,0,0,0,0,0,0,0,0,0,2,31,4,,,
1,133,0.102,0.27,0.628,0.425085597,0.165181046,0.202172007,0,0.023165988,0.184395362,0.011,0.026,0.456,0.018,0.489,0.008,0.004,0.989,0.969950616,0.006974582,0,0.007845708,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,,,
2,34,0.904,0.085,0.011,0.054741651,0.127954721,0.679760818,0.040016926,0.075197963,0.022327922,0.003,0.124,0.096,0.002,0.776,0.651,0.159,0.19,0.26688391,0,0.303306341,0,0,0,0.217032909,0,0,0,0,0,0,0,0,0,2,31,3,,,
4,63,0.866,0.118,0.016,0.017991356,0.530823057,0.225078482,0.045575111,0.14463926,0.035892734,0.004,0.109,0.16,0.002,0.725,0.729,0.074,0.197,0,0,0.095903933,0.763146937,0.044406783,0,0,0,0,0,0,0,0,0,0,0,2,13,4,,,
5,70,0.089,0.295,0.616,0.282409768,0.266661086,0.071221201,0.012177014,0.174131948,0.193398984,0.005,0.198,0.141,0.188,0.468,0.049,0.45,0.5,0.544632852,0,0,0.197811157,0,0,0.104558177,0,0,0,0,0,0,0,0,0,1,13,4,,,
