utterance_idx,ut_len,Empathy,Talker,Negative_score,Neutral_score,Positivity_score,Happy,Fear,Sad,Bored,Angry,Excited,news,query,spam,marketing,feedback,complaint,suggestion,appreciation,IMPACT,EDUCATION,POLITICS,ENTERTAINMENT,TASTE,SPORTS,HEALTHY LIVING,GREEN,BUSINESS,WORLDPOST,TECH,SCIENCE,ARTS & CULTURE,CRIME,TRAVEL,RELIGION,context_encoded
1,38,4,1,0.084,0.634,0.282,0.1982499659,0.4660356777,0.1781211193,0.0163212209,0.0559704417,0.0853015745,0.015,0.043,0.582,0.007,0.352,0.0,0.0,0.0,0.7252624035,0.0,0.0,0.093472138,0.1120136157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2,38,4,2,0.981,0.019,0.0,0.0014020263,0.5981500867,0.2352842022,0.0073403594,0.1540982886,0.0037250368,0.005,0.094,0.179,0.0,0.721,0.97,0.019,0.011,0.0543925241,0.0,0.1101409271,0.7934890389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
3,35,4,1,0.755,0.235,0.01,0.0244595842,0.6095475208,0.1627284551,0.0194656432,0.1666967818,0.0171020149,0.002,0.052,0.362,0.001,0.583,0.654,0.074,0.272,0.0,0.0,0.2508925796,0.3590896726,0.0,0.1726456285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
4,32,4,2,0.922,0.073,0.005,0.0189491659,0.6066047949,0.2407737744,0.0159035694,0.0962567841,0.0215119114,0.019,0.273,0.196,0.004,0.508,0.771,0.163,0.066,0.1175151765,0.0,0.2828593254,0.3110977411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
1,120,4,1,0.948,0.048,0.004,0.0454110586,0.324401696,0.5253085934,0.0091260534,0.0506701548,0.0450824438,0.002,0.04,0.102,0.0,0.855,0.92,0.014,0.066,0.6749949455,0.0,0.0,0.0445238426,0.0,0.0,0.0,0.0,0.0,0.2183786184,0.0,0.0,0.0,0.0,0.0,0.0,6
2,14,4,2,0.777,0.222,0.001,0.0713986037,0.1818086207,0.4478661481,0.0813050026,0.1290250299,0.0885965949,0.001,0.532,0.3,0.0,0.167,0.0,0.0,0.0,0.1795083582,0.0,0.3730389774,0.2048164606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3,95,4,1,0.864,0.1,0.036,0.039717821,0.2907989933,0.4381051319,0.0093697823,0.1713188222,0.0506894492,0.022,0.131,0.162,0.005,0.679,0.493,0.045,0.462,0.324806124,0.0,0.0,0.2359597981,0.0,0.0,0.1827105284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
4,38,4,2,0.284,0.658,0.057,0.0310416158,0.3356230822,0.3500141826,0.0211568669,0.2375463746,0.024617878,0.001,0.869,0.108,0.001,0.021,0.0,0.0,0.0,0.0697694495,0.0,0.0,0.7803145647,0.0,0.0776549578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
5,81,4,1,0.167,0.408,0.426,0.1809165427,0.2430871729,0.2194025679,0.0273612108,0.1140479237,0.2151845819,0.124,0.071,0.215,0.016,0.573,0.068,0.018,0.913,0.5100887418,0.0,0.0,0.2172246277,0.0,0.0,0.0724525899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
6,20,4,2,0.875,0.124,0.001,0.0601916009,0.197109511,0.4515644858,0.1038029957,0.1120582104,0.0752731963,0.003,0.882,0.069,0.0,0.045,0.0,0.0,0.0,0.2893844247,0.0,0.6073485017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02097122,0.0,0.0,6
7,60,4,1,0.658,0.259,0.083,0.1982290443,0.2553272132,0.2735021749,0.0644729453,0.0862475181,0.1222211043,0.059,0.093,0.187,0.009,0.652,0.449,0.029,0.522,0.0,0.0,0.1004070491,0.6390471458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073048979,0.0,6
8,29,4,2,0.566,0.421,0.013,0.0167557992,0.1740547049,0.7406830821,0.0209475815,0.0400405965,0.0075182357,0.001,0.165,0.08,0.001,0.753,0.415,0.375,0.209,0.3650675416,0.0,0.3703553081,0.1525765955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
1,36,2,1,0.989,0.009,0.002,0.0074194165,0.1019700205,0.3054294673,0.0235382412,0.55073982,0.0109030345,0.007,0.454,0.115,0.005,0.42,0.0,0.0,0.0,0.230350852,0.0,0.0,0.6751765609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0679135844,0.0,0.0,0.0,16
2,53,2,2,0.885,0.105,0.01,0.0161869891,0.1752817355,0.7157370395,0.0298889203,0.0484008072,0.0145045083,0.008,0.196,0.185,0.001,0.611,0.827,0.056,0.118,0.0838110298,0.0,0.2441355288,0.5269371867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
3,43,2,1,0.204,0.586,0.21,0.1184858875,0.2651792567,0.3914676031,0.0483540888,0.1101150104,0.0663981535,0.0,0.873,0.027,0.0,0.1,0.0,0.0,0.0,0.2425378114,0.0,0.1433666646,0.3845542371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
4,47,2,2,0.423,0.32,0.256,0.1732754966,0.1421925849,0.3332920231,0.1000395523,0.0985670017,0.1526333415,0.128,0.077,0.256,0.028,0.511,0.072,0.089,0.839,0.2719302773,0.0,0.0,0.1747053266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576746881,0.0,16
1,128,4,1,0.082,0.565,0.353,0.1534948281,0.379437398,0.206279962,0.0177084636,0.11876206,0.1243172883,0.086,0.064,0.465,0.039,0.346,0.0,0.0,0.0,0.9962149262,0.0,0.0010730061,0.0009315501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2,76,4,2,0.224,0.598,0.178,0.19224195,0.294428207,0.1841567146,0.0607266026,0.1411156398,0.1273308861,0.002,0.65,0.217,0.004,0.127,0.0,0.0,0.0,0.8805626631,0.0,0.0,0.0347371809,0.0,0.0,0.0223743673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
3,128,4,1,0.114,0.22,0.667,0.3175277464,0.1244033707,0.0823725167,0.0573466251,0.103583908,0.3147658332,0.046,0.108,0.282,0.069,0.495,0.089,0.07,0.841,0.9260054231,0.0,0.0,0.0157057103,0.0,0.0371887386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
4,69,4,2,0.019,0.138,0.843,0.4499125627,0.1915690585,0.0395131526,0.0092361185,0.0403484566,0.2694206511,0.04,0.055,0.18,0.118,0.607,0.001,0.01,0.989,0.5843224525,0.0,0.0,0.2826876342,0.0,0.0634596944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
5,51,4,1,0.094,0.357,0.549,0.2876520054,0.3564086402,0.0782254995,0.0206338374,0.0910550319,0.1660249856,0.001,0.081,0.168,0.06,0.689,0.053,0.164,0.783,0.7443224788,0.0,0.0,0.0423084125,0.0,0.0,0.1175672561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,102,4,1,0.976,0.023,0.001,0.0025489012,0.3914749887,0.3047379066,0.0051765857,0.2875442801,0.0085173378,0.009,0.092,0.195,0.001,0.704,0.975,0.013,0.013,0.0476637743,0.0,0.0,0.835257411,0.059473861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2,59,4,2,0.881,0.107,0.012,0.0116730577,0.2584203649,0.2814011749,0.0375093062,0.4002875328,0.0107085636,0.013,0.02,0.139,0.002,0.826,0.843,0.057,0.1,0.2026745975,0.0,0.2124318928,0.0,0.0,0.0,0.3938775063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
3,75,4,1,0.872,0.107,0.022,0.0432911894,0.3083256769,0.4768188953,0.0257204665,0.1003560285,0.0454877434,0.009,0.058,0.178,0.001,0.755,0.792,0.065,0.143,0.2869421542,0.0,0.0,0.3224743605,0.0,0.0,0.257737577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
4,35,4,2,0.189,0.571,0.24,0.2962317888,0.1088292411,0.0832500325,0.1225132779,0.1202824838,0.268893176,0.001,0.027,0.288,0.012,0.672,0.226,0.123,0.652,0.8925501704,0.0,0.0423480384,0.0258332361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
1,52,3,1,0.932,0.064,0.004,0.0063355517,0.2089158631,0.7381285692,0.0045537061,0.0325230167,0.0095432933,0.001,0.006,0.463,0.0,0.53,0.592,0.011,0.397,0.5808629394,0.0,0.0,0.0,0.0,0.0,0.1836497337,0.0,0.0,0.1586368233,0.0,0.0,0.0,0.0,0.0,0.0,28
2,20,3,2,0.418,0.578,0.004,0.0188395849,0.2368426591,0.4423438966,0.130064077,0.1176184516,0.0542913308,0.0,0.884,0.072,0.0,0.043,0.0,0.0,0.0,0.1286551356,0.0,0.4669736326,0.3052993417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
3,92,3,1,0.504,0.403,0.093,0.217988746,0.0936739248,0.5170590329,0.0294754407,0.0344454947,0.1073573609,0.013,0.012,0.319,0.003,0.653,0.108,0.009,0.883,0.933537364,0.0,0.0,0.0,0.0,0.0,0.0200278461,0.0,0.0,0.0383464098,0.0,0.0,0.0,0.0,0.0,0.0,28
4,100,3,2,0.835,0.143,0.021,0.0186850593,0.3577061455,0.432133738,0.0235005651,0.0764800849,0.0914944072,0.018,0.129,0.299,0.002,0.552,0.763,0.026,0.211,0.5446620584,0.0,0.1407790482,0.0,0.0,0.0,0.3042928874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
5,18,3,1,0.189,0.805,0.006,0.0158758947,0.3318220479,0.5604696586,0.0189613912,0.0615449152,0.0113260925,0.0,0.731,0.235,0.0,0.033,0.0,0.0,0.0,0.0289488658,0.0,0.1117979959,0.7951058149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
6,33,3,2,0.685,0.238,0.078,0.0773122524,0.1449496246,0.1537233067,0.1548503654,0.2732220492,0.1959424017,0.018,0.132,0.193,0.024,0.632,0.615,0.129,0.255,0.4823568463,0.0,0.16339311,0.0,0.0,0.0,0.1461987495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
1,126,3,1,0.245,0.316,0.439,0.1920308209,0.2580492964,0.170374597,0.0210235042,0.1089666392,0.2495551423,0.003,0.016,0.229,0.004,0.748,0.127,0.154,0.718,0.6821107268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0527549684,0.0,0.0,0.0,0.0,0.0,0.1789699644,15
2,75,3,2,0.709,0.229,0.061,0.0855443915,0.1763601888,0.0941278962,0.2027633863,0.3828416568,0.0583624804,0.012,0.198,0.171,0.019,0.601,0.66,0.26,0.079,0.0176749304,0.0,0.0346941613,0.907807529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
3,95,3,1,0.92,0.075,0.005,0.0251586833,0.5458965648,0.2776338556,0.0208752996,0.0763845232,0.0540510735,0.015,0.166,0.193,0.004,0.621,0.798,0.145,0.058,0.0,0.0,0.1210179925,0.7911612391,0.0,0.0169013385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
4,61,3,2,0.898,0.097,0.005,0.0511546736,0.2639221608,0.247224709,0.1082766627,0.2510727628,0.0783490311,0.006,0.694,0.124,0.002,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.196097225,0.0,0.0,0.0,0.0,0.0,0.0,0.0212185141,0.7299562097,0.0,0.0,0.0,0.0,15
5,55,3,1,0.092,0.286,0.623,0.3129730069,0.1704444255,0.0437394886,0.0473699498,0.0396453942,0.385827735,0.013,0.015,0.16,0.023,0.789,0.009,0.01,0.98,0.5342119932,0.0,0.1278114468,0.1653018743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
1,47,2,1,0.964,0.035,0.001,0.0042947019,0.1495718158,0.7888451804,0.0239875925,0.0279400658,0.0053606436,0.001,0.033,0.255,0.001,0.71,0.969,0.005,0.026,0.6930422187,0.0,0.0,0.0,0.0,0.0,0.2439953685,0.0,0.0,0.0,0.0,0.0,0.0268432964,0.0,0.0,0.0,23
2,42,2,2,0.384,0.61,0.007,0.1854800136,0.1476560399,0.4998984982,0.0877395043,0.0504134806,0.0288124634,0.0,0.577,0.095,0.0,0.328,0.0,0.0,0.0,0.2305551767,0.0,0.2892540097,0.28332147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
3,47,2,1,0.964,0.035,0.001,0.0042947019,0.1495718158,0.7888451804,0.0239875925,0.0279400658,0.0053606436,0.001,0.033,0.255,0.001,0.71,0.969,0.005,0.026,0.6930422187,0.0,0.0,0.0,0.0,0.0,0.2439953685,0.0,0.0,0.0,0.0,0.0,0.0268432964,0.0,0.0,0.0,23
4,28,2,2,0.274,0.626,0.1,0.1723271858,0.2626785611,0.4202444672,0.032808931,0.0298652048,0.0820756501,0.004,0.115,0.112,0.001,0.768,0.086,0.257,0.657,0.182460919,0.0,0.0986499488,0.5247122645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
1,66,5,1,0.454,0.365,0.181,0.0852554376,0.224828993,0.1723151979,0.0169615005,0.3762889118,0.1243499591,0.058,0.125,0.25,0.034,0.533,0.281,0.328,0.392,0.5773867369,0.0,0.0,0.3072072566,0.0,0.0,0.0547702461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
2,32,5,2,0.806,0.191,0.002,0.0098060962,0.5622702588,0.2963667471,0.031341816,0.0682388666,0.0319762153,0.001,0.545,0.36,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.1028487906,0.7844302654,0.0,0.037071608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
3,125,5,1,0.143,0.422,0.435,0.4594653835,0.1885696653,0.1168621027,0.0209229229,0.0397444159,0.1744355097,0.009,0.027,0.301,0.011,0.652,0.011,0.008,0.981,0.8980106711,0.0,0.0,0.0373332426,0.0,0.0,0.0332716294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
4,69,5,2,0.692,0.122,0.186,0.1678878073,0.2543646405,0.2077256435,0.0360850331,0.1648119733,0.1691249023,0.019,0.033,0.278,0.013,0.657,0.1,0.006,0.894,0.3069495559,0.0,0.0,0.3639864624,0.0957890823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
5,106,5,1,0.125,0.419,0.456,0.4793083807,0.1207403355,0.0894751142,0.0389369703,0.0779257682,0.1936134311,0.022,0.027,0.344,0.012,0.596,0.031,0.021,0.949,0.4867605865,0.0,0.0,0.0980125219,0.0,0.0,0.3050122559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
6,36,5,2,0.011,0.172,0.817,0.3515439585,0.1298085482,0.0410534501,0.0250615891,0.0378497259,0.4146827283,0.021,0.006,0.632,0.037,0.304,0.0,0.0,0.0,0.4714926183,0.0,0.1429704726,0.0,0.0,0.3098385036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
7,126,5,1,0.144,0.464,0.392,0.364653423,0.1458774079,0.0757387941,0.0,0.1292815361,0.284448839,0.021,0.049,0.337,0.024,0.57,0.065,0.072,0.863,0.6190211177,0.0,0.0,0.285231173,0.0,0.0,0.0,0.0,0.0403136276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
1,49,4,1,0.071,0.535,0.394,0.1670320629,0.4401116454,0.1812967778,0.0143702358,0.0968515712,0.1003377069,0.005,0.031,0.449,0.002,0.513,0.028,0.011,0.961,0.9825281501,0.0,0.0,0.0110327723,0.0,0.0,0.0033969432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
2,57,4,2,0.02,0.125,0.856,0.3897359575,0.3237614958,0.0449329366,0.037204969,0.0482221943,0.1561424468,0.037,0.105,0.358,0.091,0.408,0.005,0.02,0.975,0.6649727225,0.0,0.0158643648,0.2920113802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
3,42,4,1,0.026,0.248,0.727,0.4894732174,0.1496917202,0.097019568,0.0,0.1028409445,0.1609745499,0.008,0.025,0.413,0.009,0.545,0.002,0.007,0.991,0.3537095487,0.0,0.0172102097,0.5872198343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
4,67,4,2,0.012,0.12,0.868,0.5106257206,0.124682434,0.0614586576,0.0185359275,0.0807823718,0.2039148885,0.025,0.057,0.352,0.106,0.46,0.003,0.109,0.888,0.8704671264,0.0,0.0,0.1118549556,0.0,0.0,0.0,0.0,0.0,0.0,0.0048231212,0.0,0.0,0.0,0.0,0.0,22
5,17,4,1,0.104,0.413,0.484,0.2519825304,0.1357741705,0.0432000784,0.0437062223,0.210474604,0.3148623945,0.044,0.144,0.244,0.017,0.552,0.059,0.199,0.742,0.1137680337,0.0,0.0619406514,0.7779271007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
